iter	Passed	Remaining
0	1	127
1	2	113
2	3	107
3	4	100
4	5	99
5	6	97
6	7	97
7	8	96
8	10	101
9	11	100
10	12	100
11	13	98
12	14	96
13	15	94
14	16	92
15	17	91
16	18	89
17	19	87
18	20	86
19	21	85
20	22	84
21	23	83
22	24	82
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	67
36	39	67
37	40	66
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	84	22
79	85	21
80	86	20
81	87	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
